ParentCustomerId,Total_Predicted,Weekly_Avg,Weeks,Plants,Annual_Projection
5580,389472.36,4868.4,80,2,253156.8
7296,350360.0,5650.97,62,1,293850.44
9976,305170.17,5086.17,60,2,264480.84
2768,151534.47,3443.97,44,1,179086.44
9799,148010.78,5103.82,29,1,265398.64
10716,132752.01,4282.32,31,1,222680.63999999998
1105,127353.73,3032.23,42,5,157675.96
8501,120638.04,5245.13,23,1,272746.76
9123,117831.06,4531.96,26,2,235661.92
12757,106015.86,8834.65,12,1,459401.8
5713,101940.5,3398.02,30,1,176697.04
7501,97065.75,10785.08,9,1,560824.16
3788,96073.67,3695.14,26,1,192147.28
5725,80502.94,5750.21,14,2,299010.92
844,77721.26,2428.79,32,1,126297.08
1588,76858.18,3202.42,24,1,166525.84
2957,60683.18,3193.85,19,1,166080.19999999998
2881,59710.66,3731.92,16,1,194059.84
9979,52432.22,3495.48,15,1,181764.96
10555,51742.27,2249.66,23,1,116982.31999999999
10014,50932.26,2214.45,23,1,115151.4
4138,48082.51,814.96,59,1,42377.92
5585,46444.05,2322.2,20,1,120754.4
9205,43084.3,4308.43,10,1,224038.36000000002
2311,42419.43,3856.31,11,1,200528.12
6267,41759.23,6959.87,6,1,361913.24
3956,41336.91,1425.41,29,2,74121.32
9528,40164.66,1085.53,37,2,56447.56
3526,39442.17,1126.92,35,1,58599.840000000004
7861,37603.24,4700.41,8,1,244421.32
2171,37442.82,891.5,42,4,46358.0
7497,34679.42,2167.46,16,1,112707.92
9126,34503.51,3833.72,9,1,199353.44
10468,34473.7,4309.21,8,1,224078.92
12583,33420.17,6684.03,5,2,347569.56
1577,32294.35,1467.93,22,1,76332.36
11465,29985.37,1999.02,15,1,103949.04
7567,28954.56,965.15,30,2,50187.799999999996
9130,28596.91,2042.64,14,1,106217.28
6462,28490.72,3165.64,9,2,164613.28
6541,26920.68,3365.08,8,1,174984.16
9570,26406.58,1650.41,16,1,85821.32
6737,24633.42,2052.78,12,3,106744.56000000001
797,24385.5,1524.09,16,1,79252.68
9801,23568.45,693.19,34,1,36045.880000000005
9131,23167.39,3309.63,7,1,172100.76
8623,22539.49,2253.95,10,2,117205.4
3824,22169.38,2771.17,8,2,144100.84
4831,22152.01,923.0,24,1,47996.0
8555,21561.88,2695.24,8,1,140152.47999999998
